Model,Data Type,Mean CV Accuracy,Std CV Accuracy
KNN,Normal,0.9994658709676567,0.00030550275298978676
LightGBM,Log,0.9994361841673628,0.0002552639272584588
LightGBM,Mixed,0.9994361841673628,0.0002552639272584588
KNN,Log,0.9994065149801215,0.0002482591771092083
KNN,Mixed,0.9994065149801215,0.0002482591771092083
LightGBM,Normal,0.999317489805345,0.00020124829480862782
XGBoost,Log,0.9991394394557919,0.0003682417068001381
XGBoost,Mixed,0.9991394394557919,0.0003682417068001381
XGBoost,Normal,0.9991394394557919,0.0003682417068001381
SVM,Normal,0.9990504186842786,0.0003055031851225554
Random Forest,Log,0.9989614023160284,0.000363407803837394
Random Forest,Mixed,0.9989614023160284,0.000363407803837394
Random Forest,Normal,0.9989614023160284,0.000363407803837394
SVM,Log,0.9989613891062389,0.00044014235420764225
SVM,Mixed,0.9989613891062389,0.00044014235420764225
Logistic Regression,Normal,0.9974183535934811,0.0006996238533064968
Logistic Regression,Log,0.9972699812376957,0.0007058817808895788
Logistic Regression,Mixed,0.9972699812376957,0.0007058817808895788
